data,330455,310620,410690
2014-01-05,6,6,1
2014-01-06,7,4,1
2014-01-07,12,3,1
2014-01-08,12,0,4
2014-01-09,8,1,1
2014-01-10,18,5,2
2014-01-11,14,4,1
2014-01-12,12,1,1
2014-01-13,13,6,2
2014-01-14,17,2,1
2014-01-15,17,7,1
2014-01-16,13,5,0
2014-01-17,5,2,3
2014-01-18,5,4,3
2014-01-19,6,2,0
2014-01-20,8,2,2
2014-01-21,15,1,0
2014-01-22,23,4,1
2014-01-23,11,2,1
2014-01-24,7,3,1
2014-01-25,6,3,0
2014-01-26,13,3,1
2014-01-27,8,0,2
2014-01-28,31,16,3
2014-01-29,13,5,0
2014-01-30,8,1,2
2014-01-31,12,0,1
2014-02-01,6,5,1
2014-02-02,6,3,0
2014-02-03,9,3,2
2014-02-04,10,2,2
2014-02-05,6,0,0
2014-02-06,12,4,2
2014-02-07,20,4,0
2014-02-08,2,3,0
2014-02-09,8,5,1
2014-02-10,10,4,0
2014-02-11,10,2,2
2014-02-12,12,3,1
2014-02-13,23,2,1
2014-02-14,7,2,0
2014-02-15,7,3,0
2014-02-16,5,1,0
2014-02-17,12,4,0
2014-02-18,14,3,1
2014-02-19,11,1,0
2014-02-20,11,8,2
2014-02-21,8,3,1
2014-02-22,7,3,2
2014-02-23,6,2,0
2014-02-24,7,3,1
2014-02-25,10,4,1
2014-02-26,13,2,2
2014-02-27,8,3,1
2014-02-28,6,4,0
2014-03-01,27,7,9
2014-03-02,18,3,4
2014-03-03,15,1,2
2014-03-04,7,2,1
2014-03-05,12,2,0
2014-03-06,4,1,0
2014-03-07,12,1,0
2014-03-08,7,6,1
2014-03-09,6,4,0
2014-03-10,12,1,0
2014-03-11,11,2,0
2014-03-12,12,4,0
2014-03-13,10,6,1
2014-03-14,12,0,1
2014-03-15,3,1,1
2014-03-16,6,3,2
2014-03-17,11,4,3
2014-03-18,12,4,0
2014-03-19,23,4,1
2014-03-20,11,7,1
2014-03-21,13,10,13
2014-03-22,16,8,2
2014-03-23,5,4,1
2014-03-24,9,6,1
2014-03-25,8,5,0
2014-03-26,7,3,1
2014-03-27,10,6,3
2014-03-28,14,6,0
2014-03-29,10,1,2
2014-03-30,7,7,2
2014-03-31,9,3,1
2014-04-01,10,1,1
2014-04-02,10,3,0
2014-04-03,14,6,2
2014-04-04,9,3,1
2014-04-05,6,0,1
2014-04-06,7,8,0
2014-04-07,7,8,3
2014-04-08,15,6,1
2014-04-09,10,2,1
2014-04-10,11,3,1
2014-04-11,16,5,0
2014-04-12,10,3,1
2014-04-13,8,2,1
2014-04-14,9,4,3
2014-04-15,12,4,3
2014-04-16,11,7,3
2014-04-17,11,6,2
2014-04-18,10,2,2
2014-04-19,5,4,0
2014-04-20,6,3,1
2014-04-21,9,1,1
2014-04-22,8,3,1
2014-04-23,12,5,3
2014-04-24,14,3,0
2014-04-25,9,17,2
2014-04-26,6,3,0
2014-04-27,10,0,4
2014-04-28,15,5,2
2014-04-29,14,5,0
2014-04-30,15,5,0
2014-05-01,23,11,2
2014-05-02,20,4,2
2014-05-03,10,5,1
2014-05-04,8,2,0
2014-05-05,15,6,2
2014-05-06,21,7,3
2014-05-07,14,6,5
2014-05-08,29,11,5
2014-05-09,56,9,12
2014-05-10,16,2,0
2014-05-11,15,5,4
2014-05-12,17,2,2
2014-05-13,27,4,4
2014-05-14,15,7,2
2014-05-15,16,10,0
2014-05-16,11,4,0
2014-05-17,13,5,1
2014-05-18,12,2,0
2014-05-19,21,3,0
2014-05-20,15,4,4
2014-05-21,10,1,1
2014-05-22,15,3,6
2014-05-23,10,5,1
2014-05-24,9,4,0
2014-05-25,10,0,1
2014-05-26,8,4,2
2014-05-27,16,2,0
2014-05-28,14,7,0
2014-05-29,10,2,2
2014-05-30,15,2,4
2014-05-31,7,2,0
2014-06-01,11,1,1
2014-06-02,9,0,3
2014-06-03,12,3,2
2014-06-04,7,5,1
2014-06-05,1,10,1
2014-06-06,9,1,0
2014-06-07,6,5,0
2014-06-08,6,0,1
2014-06-09,8,7,0
2014-06-10,9,5,1
2014-06-11,17,3,2
2014-06-12,6,1,2
2014-06-13,3,4,3
2014-06-14,13,6,5
