"APS","estacao","SE","temp.mean","temp.sd","temp.min","temp.max","umid.mean","umid.sd","umid.min","umid.max"
"AP1","galeao",201001,28.65,2.78714285714286,25.1428571428571,33.4285714285714,73.7485714285714,12.18,51.7142857142857,89.7142857142857
"AP1","galeao",201002,29.0542857142857,3.25285714285714,24.7142857142857,34.5714285714286,70.3557142857143,13.7171428571429,46.5714285714286,90.7142857142857
"AP1","galeao",201003,28.36,3.5,23.8571428571429,34.5714285714286,71.2785714285714,13.6771428571429,45.8571428571429,88.2857142857143
"AP1","galeao",201004,27.72,3.15714285714286,24,33.4285714285714,73.2014285714286,12.5728571428571,47.8571428571429,88.7142857142857
"AP1","galeao",201005,30.04,3.83571428571429,25.1428571428571,36.4285714285714,63.7314285714286,15.6885714285714,38.1428571428571,85.2857142857143
"AP1","galeao",201006,30.16,3.97,25,36.8571428571429,61.5957142857143,16.4714285714286,33.7142857142857,84.7142857142857
"AP1","galeao",201007,28.5857142857143,3.15571428571429,24.5714285714286,34.2857142857143,68.6157142857143,13.7057142857143,44.4285714285714,87.2857142857143
"AP1","galeao",201008,27.7771428571429,2.89571428571429,23.8571428571429,33,71.3571428571429,12.2985714285714,51,89
"AP1","galeao",201009,23.4871428571429,1.61714285714286,21.7142857142857,26.5714285714286,85.8557142857143,7.19428571428571,72.5714285714286,93.2857142857143
"AP1","galeao",201010,27.6085714285714,3.27,23.7142857142857,34,72.9814285714286,13.1142857142857,46.1428571428571,90.4285714285714
"AP1","galeao",201011,26.1871428571429,2.79142857142857,22.5714285714286,31.1428571428571,79.6385714285714,12.5285714285714,56.4285714285714,94.8571428571429
"AP1","galeao",201012,27.6371428571429,3.18142857142857,23.5714285714286,33.1428571428571,74.5671428571429,13.4657142857143,50.1428571428571,91.8571428571429
"AP1","galeao",201013,26.4371428571429,2.49714285714286,23.2857142857143,31.1428571428571,79.7642857142857,11.1757142857143,58.2857142857143,94.8571428571429
"AP1","galeao",201014,22.4728571428571,1.83142857142857,20,26,84.7271428571429,8.63142857142857,67.2857142857143,94.8571428571429
"AP1","galeao",201015,23.7542857142857,2.97571428571429,19.7142857142857,29,76.71,12.8057142857143,51,93.1428571428571
"AP1","galeao",201016,26.5571428571429,3.12714285714286,22.4285714285714,32.1428571428571,73.9485714285714,14.1485714285714,46.8571428571429,92.5714285714286
"AP1","galeao",201017,24.3271428571429,2.38285714285714,21.2857142857143,28.4285714285714,78.5528571428571,11.6428571428571,56.8571428571429,93.2857142857143
"AP1","galeao",201018,25.0671428571429,3.44,20.7142857142857,31.1428571428571,73.7542857142857,15.1285714285714,45.2857142857143,92.2857142857143
"AP1","galeao",201019,21.58,2.25285714285714,18.5714285714286,25.5714285714286,78.5528571428571,11.4085714285714,56.7142857142857,94
"AP1","galeao",201020,22.51,2.16428571428571,19.1428571428571,26.1428571428571,77.7771428571429,10.7242857142857,58.7142857142857,93.1428571428571
"AP1","galeao",201021,22.0871428571429,2.26857142857143,19,26.1428571428571,79.7714285714286,10.6042857142857,59.1428571428571,94
"AP1","galeao",201022,20.8928571428571,2.17857142857143,17.5714285714286,25,77.5171428571429,10.4957142857143,57,91.4285714285714
"AP1","galeao",201023,19.5514285714286,2.36857142857143,16,23.7142857142857,74.5585714285714,13.7442857142857,47.4285714285714,92.2857142857143
"AP1","galeao",201024,19.7485714285714,3.81714285714286,14.8571428571429,26.4285714285714,75.6057142857143,16.1142857142857,45.1428571428571,93.1428571428571
"AP1","galeao",201025,20.8371428571429,3.02,16.8571428571429,26.1428571428571,79.3357142857143,12.5014285714286,55.5714285714286,94
"AP1","galeao",201026,20.8714285714286,2.95857142857143,17.1428571428571,26.4285714285714,79.4757142857143,13.2942857142857,51.8571428571429,94.8571428571429
"AP1","galeao",201027,21.3514285714286,3.35714285714286,16.5714285714286,27.2857142857143,74.5528571428571,14.1428571428571,47.5714285714286,93.1428571428571
"AP1","galeao",201028,22.1,2.17,19.4285714285714,26.4285714285714,80.8614285714286,10.01,60.5714285714286,91.7142857142857
"AP1","galeao",201029,21.9885714285714,2.94,18.2857142857143,27,75.1185714285714,12.8885714285714,51.2857142857143,90.5714285714286
"AP1","galeao",201030,22.3914285714286,3.28428571428571,18,28.2857142857143,72.5485714285714,15.6442857142857,43.1428571428571,91.4285714285714
"AP1","galeao",201031,21.1957142857143,2.07285714285714,18.2857142857143,25.5714285714286,76.78,10.83,56.7142857142857,90.5714285714286
"AP1","galeao",201032,20.8757142857143,2.8,17,25.4285714285714,69.9928571428571,12.4814285714286,48.7142857142857,86.8571428571429
"AP1","galeao",201033,18.4114285714286,3.00857142857143,14.1428571428571,23.2857142857143,70.9057142857143,14.6714285714286,44.8571428571429,89.7142857142857
"AP1","galeao",201034,23.0285714285714,4.48,16.8571428571429,31,67.5714285714286,18.3942857142857,34,90.5714285714286
"AP1","galeao",201035,23.9942857142857,3.78,19.1428571428571,30,67.2642857142857,17.3571428571429,39.7142857142857,89.7142857142857
"AP1","galeao",201036,20.9914285714286,2.13857142857143,18,24.7142857142857,74.0685714285714,10.1828571428571,55.5714285714286,89.8571428571429
"AP1","galeao",201037,23.01,3.54428571428571,18.2857142857143,29.4285714285714,68.5457142857143,14.0585714285714,42.7142857142857,88.2857142857143
"AP1","galeao",201038,23.0042857142857,3.13428571428571,18.8571428571429,28.1428571428571,69.4014285714286,13.65,47.7142857142857,89.2857142857143
"AP1","galeao",201039,23.0785714285714,1.57571428571429,21.1428571428571,26.2857142857143,81.6742857142857,7.45428571428571,67,91.5714285714286
"AP1","galeao",201040,22.6842857142857,2.11714285714286,19.7142857142857,26.4285714285714,71.6557142857143,9.38857142857143,56,87
"AP1","galeao",201041,21.51,2.86285714285714,17.4285714285714,26.1428571428571,68.87,13.4657142857143,46.7142857142857,88.1428571428571
"AP1","galeao",201042,22.6871428571429,2.05571428571429,19.7142857142857,26.4285714285714,72.4228571428571,10.17,54.8571428571429,87.5714285714286
"AP1","galeao",201043,23.4114285714286,2.58,20.1428571428571,28,74.3157142857143,12.9214285714286,52.2857142857143,92.2857142857143
"AP1","galeao",201044,24.5871428571429,2.38285714285714,21,28.4285714285714,72.1485714285714,10.4414285714286,55.1428571428571,87.8571428571429
"AP1","galeao",201045,23.4757142857143,1.91428571428571,21,26.7142857142857,74.9728571428572,9.16,58.8571428571429,87.5714285714286
"AP1","galeao",201046,22.6757142857143,2.10142857142857,20,26.2857142857143,78.9857142857143,8.52428571428571,64,89.7142857142857
"AP1","galeao",201047,25.2485714285714,1.98428571428571,22.7142857142857,28.8571428571429,80.0742857142857,9.65,63.7142857142857,93.2857142857143
"AP1","galeao",201048,27.6642857142857,2.76285714285714,24.2857142857143,32.4285714285714,72.32,11.0628571428571,53.1428571428571,88
"AP1","galeao",201049,26.8828571428571,2.31285714285714,23.8571428571429,30.8571428571429,76.3657142857143,10.7414285714286,58,91.1428571428571
"AP1","galeao",201050,27.26,2.73857142857143,23.7142857142857,32.1428571428571,75.0628571428571,10.8785714285714,55.8571428571429,90.4285714285714
"AP1","galeao",201051,27.2742857142857,2.39285714285714,24,31.5714285714286,75.1885714285714,10.3785714285714,54.8571428571429,90.4285714285714
"AP1","galeao",201052,25.2171428571429,1.98714285714286,22.8571428571429,28.5714285714286,79.6128571428571,10.3214285714286,60.4285714285714,94.1428571428571
"AP1","galeao",201101,26.8028571428571,2.45,23.5714285714286,30.7142857142857,76.5242857142857,10.3714285714286,59.2857142857143,90.1428571428571
"AP1","galeao",201102,27.6657142857143,2.74142857142857,24.1428571428571,32.8571428571429,75.3485714285714,12.7714285714286,50.4285714285714,91
"AP1","galeao",201103,28.6342857142857,3.00857142857143,24.8571428571429,33.8571428571429,71.8242857142857,12.5757142857143,49.5714285714286,90.2857142857143
"AP1","galeao",201104,29.2971428571429,3.58714285714286,24.4285714285714,35,62.8157142857143,14.9785714285714,38.5714285714286,84.1428571428571
"AP1","galeao",201105,28.6642857142857,2.97285714285714,24.8571428571429,33.8571428571429,67.5628571428571,12.5985714285714,45.1428571428571,84.1428571428571
